               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.039742,            0.013606,                   0,             0.83291,             0.88235,             0.79278,             0.54702,            0.028856,           0.0086261,                   0,           0.0016675,           0.0016675,            0.078367
                  39,            0.037004,            0.014034,                   0,              0.8821,             0.88235,             0.84487,             0.48456,            0.030761,           0.0083994,                   0,           0.0016788,           0.0016788,            0.077779
                  40,            0.037927,             0.01373,                   0,             0.88888,             0.94113,               0.857,             0.62684,            0.026215,           0.0084553,                   0,           0.0016882,           0.0016882,            0.077188
                  41,            0.036859,            0.013559,                   0,             0.84189,             0.93971,             0.85641,             0.58452,            0.029096,           0.0081523,                   0,           0.0016956,           0.0016956,            0.076596
                  42,            0.037895,            0.013688,                   0,             0.84192,             0.94118,             0.84654,             0.52101,            0.028501,           0.0080471,                   0,           0.0017011,           0.0017011,            0.076001
                  43,            0.035429,            0.013884,                   0,             0.88886,             0.94095,             0.86576,             0.61766,            0.027572,           0.0078212,                   0,           0.0017047,           0.0017047,            0.075405
                  44,            0.035246,            0.012771,                   0,             0.84177,             0.94118,             0.85951,             0.55587,            0.026045,           0.0078038,                   0,           0.0017063,           0.0017063,            0.074806
                  45,            0.036133,            0.013103,                   0,             0.88856,             0.94118,             0.86656,             0.62476,            0.025815,           0.0077414,                   0,           0.0017061,           0.0017061,            0.074206
                  46,            0.034287,            0.013128,                   0,             0.88884,             0.94075,             0.87036,             0.69179,            0.025204,           0.0074893,                   0,            0.001704,            0.001704,            0.073604
                  47,            0.036166,            0.012604,                   0,              0.8421,             0.94118,             0.86998,             0.66741,             0.02413,           0.0073356,                   0,              0.0017,              0.0017,               0.073
                  48,            0.032308,            0.012273,                   0,             0.88196,             0.88235,             0.86557,             0.67372,            0.022894,           0.0071496,                   0,           0.0016943,           0.0016943,            0.072394
                  49,            0.033057,            0.012189,                   0,             0.84186,             0.94118,             0.85883,             0.58227,            0.024065,           0.0070739,                   0,           0.0016868,           0.0016868,            0.071787
                  50,            0.047879,             0.01012,                   0,             0.76158,             0.76471,             0.74998,             0.27746,            0.041092,           0.0071028,                   0,           0.0016775,           0.0016775,            0.071178
                  51,            0.045296,            0.011658,                   0,             0.79982,             0.94015,             0.85063,             0.49219,            0.032117,           0.0079583,                   0,           0.0016665,           0.0016665,            0.070567
                  52,            0.042832,            0.012622,                   0,              0.7999,             0.94118,             0.83295,             0.44667,            0.032368,           0.0078026,                   0,           0.0016539,           0.0016539,            0.069954
                  53,             0.04172,            0.012249,                   0,             0.88819,             0.94118,             0.89133,             0.60455,            0.030644,           0.0078325,                   0,           0.0016397,           0.0016397,             0.06934
                  54,            0.040233,            0.012549,                   0,             0.83984,             0.94118,              0.8766,             0.51084,            0.033726,           0.0076559,                   0,           0.0016239,           0.0016239,            0.068724
                  55,            0.042516,            0.012566,                   0,             0.88877,             0.94015,             0.88547,             0.63829,            0.029016,            0.007794,                   0,           0.0016067,           0.0016067,            0.068107
                  56,            0.037959,            0.012242,                   0,              0.8421,             0.94116,             0.87378,             0.54187,            0.028872,           0.0077823,                   0,            0.001588,            0.001588,            0.067488
                  57,             0.04005,            0.011509,                   0,             0.88885,             0.94082,             0.88209,             0.47675,            0.030644,           0.0076194,                   0,           0.0015679,           0.0015679,            0.066868
                  58,            0.038233,            0.012937,                   0,             0.84202,             0.94118,             0.88148,             0.63249,            0.027559,            0.007536,                   0,           0.0015465,           0.0015465,            0.066246
                  59,            0.036696,             0.01267,                   0,             0.88231,             0.88235,                0.88,             0.55817,            0.027517,            0.007338,                   0,           0.0015238,           0.0015238,            0.065624
                  60,            0.038799,            0.011866,                   0,             0.84184,             0.94118,             0.88487,             0.61525,            0.024888,           0.0073446,                   0,           0.0014999,           0.0014999,               0.065
                  61,            0.035972,            0.012227,                   0,             0.88873,             0.93974,             0.89003,             0.70294,            0.028448,           0.0071811,                   0,            0.001475,            0.001475,            0.064375
                  62,            0.036109,            0.011707,                   0,             0.88871,             0.94118,             0.88678,             0.61418,            0.026047,            0.007264,                   0,            0.001449,            0.001449,            0.063749
                  63,            0.035097,             0.01191,                   0,             0.88886,             0.94096,             0.89429,             0.65083,            0.023945,           0.0071627,                   0,            0.001422,            0.001422,            0.063122
                  64,            0.031579,            0.012021,                   0,             0.84204,             0.94071,             0.88365,             0.57349,            0.028347,           0.0067977,                   0,           0.0013942,           0.0013942,            0.062494
                  65,            0.040517,            0.010651,                   0,             0.88885,             0.94118,             0.89133,             0.71496,            0.025501,           0.0069671,                   0,           0.0013655,           0.0013655,            0.061866
                  66,            0.036713,             0.01083,                   0,             0.88869,             0.94118,             0.88973,             0.62241,             0.02536,           0.0069701,                   0,           0.0013362,           0.0013362,            0.061236
                  67,            0.034762,            0.011642,                   0,             0.88874,             0.94118,             0.88973,             0.63984,            0.023551,           0.0069532,                   0,           0.0013062,           0.0013062,            0.060606
                  68,            0.031107,            0.011547,                   0,             0.88877,             0.94009,             0.88819,             0.66946,            0.022034,           0.0067957,                   0,           0.0012757,           0.0012757,            0.059976
                  69,            0.034667,            0.011559,                   0,             0.88883,             0.94118,             0.88973,              0.6176,            0.024673,           0.0066039,                   0,           0.0012447,           0.0012447,            0.059345
                  70,            0.033553,            0.010681,                   0,             0.88868,             0.94118,             0.89429,             0.69536,            0.021964,           0.0065405,                   0,           0.0012134,           0.0012134,            0.058713
                  71,            0.033062,            0.011293,                   0,             0.88873,             0.94118,             0.89781,             0.64905,            0.022801,           0.0065213,                   0,           0.0011818,           0.0011818,            0.058082
                  72,            0.032353,            0.010102,                   0,             0.88887,             0.94103,             0.89781,             0.71484,            0.021504,           0.0065143,                   0,             0.00115,             0.00115,             0.05745
                  73,            0.028925,            0.010578,                   0,             0.88861,             0.94118,             0.89141,             0.69933,             0.02113,           0.0064331,                   0,           0.0011182,           0.0011182,            0.056818
                  74,            0.029372,              0.0109,                   0,             0.88877,             0.94118,             0.89325,             0.69436,            0.021116,           0.0063243,                   0,           0.0010864,           0.0010864,            0.056186
